Nosaukums,Augstas_krummellenesPARAUGS
Latiniskais nosaukums,Vaccinium_corymbosumPARAUGS
Skirne,Northland
Apraksts,APRAKSTSAPRAKSTSAPRAKSTSAPRAKSTSAPRAKSTSAPRAKSTSAPRAKSTSAPRAKSTSAPRAKSTS
Veids,Ogu_krums
Augsanas ilgums (dienas),1460
Dzivesilgums,Daudzgadiga
Izturiba,Liela
Saknu dzilums (cm),23
Stadisanas menesis,Maijs
Minimala temperatura (C),10
Laistisanas biezums (reizes diena),3
Gaismas vide,Saule
Vide,Mitra-skaba
Atsauces,https://www.w3schools.com/mysql/mysql_delete.asp,https://www.w3schools.com/mysql/mysql_select.asp
